Area,Coefficient
18,11.784 
19,11.772
20,11.76
21,11.748
22,11.736
23,11.724
24,11.712
25,11.7
26,11.688
27,11.676
28,11.664
29,11.652
30,11.64
31,11.628
32,11.616
33,11.604
34,11.592
35,11.58
36,11.568
37,11.556
38,11.544
39,11.532
40,11.52
41,11.508
42,11.496
43,11.484
44,11.472
45,11.46
46,11.448
47,11.436
48,11.424
49,11.412
50,11.4
51,11.388
52,11.376
53,11.364
54,11.352
55,11.34
56,11.328
57,11.316
58,11.304
59,11.292
60,11.28
61,11.268
62,11.256
63,11.244
64,11.232
65,11.22
66,11.208
67,11.196
68,11.184
69,11.172
70,11.16
71,11.148
72,11.136
73,11.124
74,11.112
75,11.1
76,11.088
77,11.076
78,11.064
79,11.052
80,11.04
81,11.028
82,11.016
83,11.004
84,10.992
85,10.98
86,10.968
87,10.956
88,10.944
89,10.932
90,10.92
91,10.908
92,10.896
93,10.884
94,10.872
95,10.86
96,10.848
97,10.836
98,10.824
99,10.812
100,10.8
101,10.788
102,10.776
103,10.764
104,10.752
105,10.74
106,10.728
107,10.716
108,10.704
109,10.692
110,10.68
111,10.668
112,10.656
113,10.644
114,10.632
115,10.62
116,10.608
117,10.596
118,10.584
119,10.572
120,10.56
121,10.548
122,10.536
123,10.524
124,10.512
125,10.5
126,10.488
127,10.476
128,10.464
129,10.452
130,10.44
131,10.428
132,10.416
133,10.404
134,10.392
135,10.38
136,10.368
137,10.356
138,10.344
139,10.332
140,10.32
141,10.308
142,10.296
143,10.284
144,10.272
145,10.26
146,10.248
147,10.236
148,10.224
149,10.212
150,10.2
151,10.188
152,10.176
153,10.164
154,10.152
155,10.14
156,10.128
157,10.116
158,10.104
159,10.092
160,10.08
161,10.068
162,10.056
163,10.044
164,10.032
165,10.02
166,10.008
167,9.996
168,9.984
169,9.972
170,9.96
171,9.948
172,9.936
173,9.924
174,9.912
175,9.9
176,9.888
177,9.876
178,9.864
179,9.852
180,9.84
181,9.828
182,9.816
183,9.804
184,9.792
185,9.78
186,9.768
187,9.756
188,9.744
189,9.732
190,9.72
191,9.708
192,9.696
193,9.684
194,9.672
195,9.66
196,9.648
197,9.636
198,9.624
199,9.612
200,9.6
201,9.588
202,9.576
203,9.564
204,9.552
205,9.54
206,9.528
207,9.516
208,9.504
209,9.492
210,9.48
211,9.468
212,9.456
213,9.444
214,9.432
215,9.42
216,9.408
217,9.396
218,9.384
219,9.372
220,9.36
221,9.348
222,9.336
223,9.324
224,9.312
225,9.3
226,9.288
227,9.276
228,9.264
229,9.252
230,9.24
231,9.228
232,9.216
233,9.204
234,9.192
235,9.18
236,9.168
237,9.156
238,9.144
239,9.132
240,9.12
241,9.108
242,9.096
243,9.084
244,9.072
245,9.06
246,9.048
247,9.036
248,9.024
249,9.012
250,9.0
251,8.988
252,8.976
253,8.964
254,8.952
255,8.94
256,8.928
257,8.916
258,8.904
259,8.892
260,8.88
261,8.868
262,8.856
263,8.844
264,8.832
265,8.82
266,8.808
267,8.796
268,8.784
269,8.772
270,8.76
271,8.748
272,8.736
273,8.724
274,8.712
275,8.7
276,8.688
277,8.676
278,8.664
279,8.652
280,8.64
281,8.628
282,8.616
283,8.604
284,8.592
285,8.58
286,8.568
287,8.556
288,8.544
289,8.532
290,8.52
291,8.508
292,8.496
293,8.484
294,8.472
295,8.46
296,8.448
297,8.436
298,8.424
299,8.412
300,8.4
301,8.388
302,8.376
303,8.364
304,8.352
305,8.34
306,8.328
307,8.316
308,8.304
309,8.292
310,8.28
311,8.268
312,8.256
313,8.244
314,8.232
315,8.22
316,8.208
317,8.196
318,8.184
319,8.172
320,8.16
321,8.148
322,8.136
323,8.124
324,8.112
325,8.1
326,8.088
327,8.076
328,8.064
329,8.052
330,8.04
331,8.028
332,8.016
333,8.004
334,7.992
335,7.98
336,7.968
337,7.956
338,7.944
339,7.932
340,7.92
341,7.908
342,7.896
343,7.884
344,7.872
345,7.86
346,7.848
347,7.836
348,7.824
349,7.812
350,7.8
351,7.788
352,7.776
353,7.764
354,7.752
355,7.74
356,7.728
357,7.716
358,7.704
359,7.692
360,7.68
361,7.668
362,7.656
363,7.644
364,7.632
365,7.62
366,7.608
367,7.596
368,7.584
369,7.572
370,7.56
371,7.548
372,7.536
373,7.524
374,7.512
375,7.5
376,7.488
377,7.476
378,7.464
379,7.452
380,7.44
381,7.428
382,7.416
383,7.404
384,7.392
385,7.38
386,7.368
387,7.356
